"Statistic Label","Passenger Direction","Travel Mode","Year","UNIT","VALUE"
"International Movement of Passengers","Departing Eire","Air","1993","Number","3569016"
"International Movement of Passengers","Departing Eire","Air","1994","Number","4169901"
"International Movement of Passengers","Departing Eire","Air","1995","Number","4823842"
"International Movement of Passengers","Departing Eire","Air","1996","Number","5471812"
"International Movement of Passengers","Departing Eire","Air","1997","Number","6104802"
"International Movement of Passengers","Departing Eire","Air","1998","Number","6848776"
"International Movement of Passengers","Departing Eire","Air","1999","Number","7541060"
"International Movement of Passengers","Departing Eire","Air","2000","Number","8237736"
"International Movement of Passengers","Departing Eire","Air","2001","Number","8535752"
"International Movement of Passengers","Departing Eire","Air","2002","Number","9035676"
"International Movement of Passengers","Departing Eire","Air","2003","Number","9688132"
"International Movement of Passengers","Departing Eire","Air","2004","Number","10498433"
"International Movement of Passengers","Departing Eire","Air","2005","Number","11789733"
"International Movement of Passengers","Departing Eire","Air","2006","Number","12812284"
"International Movement of Passengers","Departing Eire","Air","2007","Number","14584234"
"International Movement of Passengers","Departing Eire","Air","2008","Number","14659971"
"International Movement of Passengers","Departing Eire","Air","2009","Number","12874667"
"International Movement of Passengers","Departing Eire","Air","2010","Number","11425312"
"International Movement of Passengers","Departing Eire","Air","2011","Number","11707129"
"International Movement of Passengers","Departing Eire","Air","2012","Number","11839699"
"International Movement of Passengers","Departing Eire","Sea","1993","Number","1909188"
"International Movement of Passengers","Departing Eire","Sea","1994","Number","1998442"
"International Movement of Passengers","Departing Eire","Sea","1995","Number","2130747"
"International Movement of Passengers","Departing Eire","Sea","1996","Number","2134735"
"International Movement of Passengers","Departing Eire","Sea","1997","Number","2260447"
"International Movement of Passengers","Departing Eire","Sea","1998","Number","2421003"
"International Movement of Passengers","Departing Eire","Sea","1999","Number","2285871"
"International Movement of Passengers","Departing Eire","Sea","2000","Number","2259300"
"International Movement of Passengers","Departing Eire","Sea","2001","Number","2073403"
"International Movement of Passengers","Departing Eire","Sea","2002","Number","2108547"
"International Movement of Passengers","Departing Eire","Sea","2003","Number","2036287"
"International Movement of Passengers","Departing Eire","Sea","2004","Number","1956733"
"International Movement of Passengers","Departing Eire","Sea","2005","Number","1616185"
"International Movement of Passengers","Departing Eire","Sea","2006","Number","1478908"
"International Movement of Passengers","Departing Eire","Sea","2007","Number","1512276"
"International Movement of Passengers","Departing Eire","Sea","2008","Number","1412909"
"International Movement of Passengers","Departing Eire","Sea","2009","Number","1393504"
"International Movement of Passengers","Departing Eire","Sea","2010","Number","1495671"
"International Movement of Passengers","Departing Eire","Sea","2011","Number","1402539"
"International Movement of Passengers","Departing Eire","Sea","2012","Number","1321876"
"International Movement of Passengers","Arriving in Eire","Air","1993","Number","3530345"
"International Movement of Passengers","Arriving in Eire","Air","1994","Number","4106810"
"International Movement of Passengers","Arriving in Eire","Air","1995","Number","4736115"
"International Movement of Passengers","Arriving in Eire","Air","1996","Number","5393308"
"International Movement of Passengers","Arriving in Eire","Air","1997","Number","5989256"
"International Movement of Passengers","Arriving in Eire","Air","1998","Number","6765836"
"International Movement of Passengers","Arriving in Eire","Air","1999","Number","7487095"
"International Movement of Passengers","Arriving in Eire","Air","2000","Number","8145723"
"International Movement of Passengers","Arriving in Eire","Air","2001","Number","8493712"
"International Movement of Passengers","Arriving in Eire","Air","2002","Number","8969019"
"International Movement of Passengers","Arriving in Eire","Air","2003","Number","9652138"
"International Movement of Passengers","Arriving in Eire","Air","2004","Number","10465633"
"International Movement of Passengers","Arriving in Eire","Air","2005","Number","11781207"
"International Movement of Passengers","Arriving in Eire","Air","2006","Number","12810757"
"International Movement of Passengers","Arriving in Eire","Air","2007","Number","14544078"
"International Movement of Passengers","Arriving in Eire","Air","2008","Number","14580662"
"International Movement of Passengers","Arriving in Eire","Air","2009","Number","12838025"
"International Movement of Passengers","Arriving in Eire","Air","2010","Number","11400557"
"International Movement of Passengers","Arriving in Eire","Air","2011","Number","11647541"
"International Movement of Passengers","Arriving in Eire","Air","2012","Number","11806689"
"International Movement of Passengers","Arriving in Eire","Sea","1993","Number","1927656"
"International Movement of Passengers","Arriving in Eire","Sea","1994","Number","2003836"
"International Movement of Passengers","Arriving in Eire","Sea","1995","Number","2113738"
"International Movement of Passengers","Arriving in Eire","Sea","1996","Number","2111975"
"International Movement of Passengers","Arriving in Eire","Sea","1997","Number","2293429"
"International Movement of Passengers","Arriving in Eire","Sea","1998","Number","2434100"
"International Movement of Passengers","Arriving in Eire","Sea","1999","Number","2328361"
"International Movement of Passengers","Arriving in Eire","Sea","2000","Number","2248207"
"International Movement of Passengers","Arriving in Eire","Sea","2001","Number","2086532"
"International Movement of Passengers","Arriving in Eire","Sea","2002","Number","2109886"
"International Movement of Passengers","Arriving in Eire","Sea","2003","Number","2059266"
"International Movement of Passengers","Arriving in Eire","Sea","2004","Number","1986046"
"International Movement of Passengers","Arriving in Eire","Sea","2005","Number","1652715"
"International Movement of Passengers","Arriving in Eire","Sea","2006","Number","1525691"
"International Movement of Passengers","Arriving in Eire","Sea","2007","Number","1555053"
"International Movement of Passengers","Arriving in Eire","Sea","2008","Number","1442348"
"International Movement of Passengers","Arriving in Eire","Sea","2009","Number","1397223"
"International Movement of Passengers","Arriving in Eire","Sea","2010","Number","1501959"
"International Movement of Passengers","Arriving in Eire","Sea","2011","Number","1402156"
"International Movement of Passengers","Arriving in Eire","Sea","2012","Number","1335297"
