"Statistic Label","Type of Expenditure","Year","UNIT","VALUE"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2009","Euro Million","6043"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2010","Euro Million","5801"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2011","Euro Million","5399"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2012","Euro Million","5233"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2013","Euro Million","5265"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2014","Euro Million","5442"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2015","Euro Million","5843"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2016","Euro Million","6350"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2017","Euro Million","6594"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2018","Euro Million","7062"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2019","Euro Million","7914"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2009","Euro Million","570"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2010","Euro Million","590"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2011","Euro Million","789"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2012","Euro Million","821"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2013","Euro Million","969"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2014","Euro Million","1074"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2015","Euro Million","1148"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2016","Euro Million","1247"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2017","Euro Million","1377"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2018","Euro Million","1423"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2019","Euro Million","1435"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2009","Euro Million","5473"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2010","Euro Million","5211"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2011","Euro Million","4610"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2012","Euro Million","4412"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2013","Euro Million","4296"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2014","Euro Million","4368"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2015","Euro Million","4695"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2016","Euro Million","5103"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2017","Euro Million","5217"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2018","Euro Million","5639"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2019","Euro Million","6497"
